"Region","Country","Sponsor","Sponsor URL","http mirror link","ftp mirror link","rsync mirror link"
"Asia","Japan","Yamagata University","http://www.yamagata-u.ac.jp/","http://ftp.yz.yamagata-u.ac.jp/pub/linux/centos-altarch/","","rsync://ftp.yz.yamagata-u.ac.jp/pub/linux/centos-altarch/"
"EU","France","   Babylon Network","https://babylon.network/","http://fr.mirror.babylon.network/centos-altarch/","ftp://fr.mirror.babylon.network/centos-altarch/","rsync://fr.mirror.babylon.network/centos-altarch/"
"EU","Germany","University of Applied Sciences Esslingen 2","http://www.hs-esslingen.de/","http://mirror1.hs-esslingen.de/pub/Mirrors/centos-altarch/","","rsync://mirror1.hs-esslingen.de/centos-altarch/"
"EU","Germany","Yannic Bonenberger","https://www.yannic-bonenberger.com/","http://mirror.yannic-bonenberger.com/centos-altarch/","",""
"EU","Netherlands","    Babylon Network","https://babylon.network/","http://nl.mirror.babylon.network/centos-altarch/","ftp://nl.mirror.babylon.network/centos-altarch/","rsync://nl.mirror.babylon.network/centos-altarch/"
"EU","Spain","AireNetworks ","http://www.airenetworks.es/","http://mirror.airenetworks.es/CentOS-AltArch/","ftp://mirror.airenetworks.es/CentOS-AltArch/","rsync://mirror.airenetworks.es/CentOS-AltArch/"
"EU","United Kingdom","Coreix","http://www.coreix.net/","http://mirrors.coreix.net/centos-altarch/","","rsync://rsync.mirrors.coreix.net/centos-altarch/"
"EU","United Kingdom","Freethought Internet","https://www.freethought-internet.co.uk/","http://mirror.freethought-internet.co.uk/centos-altarch/","ftp://mirror.freethought-internet.co.uk/centos-altarch/","rsync://mirror.freethought-internet.co.uk/centos-altarch/"
"US","","Oregon State University","http://osuosl.org/","http://ftp.osuosl.org/pub/centos-altarch/","ftp://ftp.osuosl.org/pub/centos-altarch/","rsync://rsync.osuosl.org/centos-altarch/"
"US","CA","Open Computing Facility","https://www.ocf.berkeley.edu/","http://mirrors.ocf.berkeley.edu/centos-altarch/","ftp://mirrors.ocf.berkeley.edu/centos-altarch/","rsync://mirrors.ocf.berkeley.edu/centos-altarch/"
"US","GA","Virtual World Technologies","http://www.vwtonline.com","http://centos.vwtonline.net/centos-altarch/","",""
"US","NJ","Princeton University Department of Mathematics","http://www.math.princeton.edu/","http://mirror.math.princeton.edu/pub/centos-altarch/","","rsync://mirror.math.princeton.edu/pub/centos-altarch/"
"US","UT","University of Utah","http://www.chpc.utah.edu/","http://mirror.chpc.utah.edu/pub/centos-altarch/","","rsync://mirror.chpc.utah.edu/pub/centos-altarch/"

Mon Feb 20 17:20:01 UTC 2017
